time,x,y,z
2.712,0.115,0.061,1.067
2.716,0.114,0.057,1.075
2.722,0.117,0.056,1.077
2.729,0.117,0.060,1.080
2.730,0.111,0.064,1.077
2.732,0.108,0.073,1.070
2.742,0.106,0.081,1.061
2.742,0.095,0.093,1.054
2.745,0.092,0.105,1.046
2.748,0.089,0.114,1.037
2.754,0.082,0.130,1.027
2.756,0.077,0.140,1.013
2.760,0.077,0.150,1.011
2.764,0.072,0.156,0.996
2.772,0.075,0.167,0.987
2.782,0.070,0.176,0.976
2.783,0.073,0.180,0.960
2.783,0.078,0.179,0.949
2.784,0.083,0.183,0.935
2.788,0.092,0.179,0.924
2.791,0.098,0.179,0.917
2.795,0.108,0.175,0.911
2.799,0.113,0.171,0.900
2.803,0.115,0.168,0.893
2.807,0.123,0.160,0.890
2.811,0.133,0.156,0.888
2.815,0.142,0.150,0.888
2.822,0.153,0.144,0.888
2.825,0.157,0.141,0.899
2.827,0.161,0.138,0.898
2.832,0.172,0.133,0.907
2.844,0.176,0.127,0.909
2.845,0.182,0.126,0.907
2.845,0.189,0.127,0.905
2.850,0.192,0.129,0.905
2.851,0.194,0.129,0.901
2.855,0.197,0.137,0.897
2.859,0.199,0.139,0.890
2.863,0.202,0.145,0.886
2.867,0.198,0.153,0.881
2.871,0.192,0.163,0.872
2.874,0.192,0.168,0.868
2.878,0.183,0.178,0.855
2.882,0.181,0.184,0.851
2.887,0.175,0.193,0.835
2.890,0.165,0.190,0.833
2.895,0.163,0.187,0.830
2.899,0.159,0.191,0.833
2.912,0.151,0.193,0.830
2.913,0.140,0.188,0.842
2.914,0.138,0.178,0.856
2.915,0.132,0.182,0.869
2.941,0.125,0.171,0.891
2.942,0.120,0.161,0.921
2.942,0.112,0.144,0.964
2.942,0.112,0.131,1.008
2.942,0.102,0.113,1.055
2.943,0.108,0.098,1.105
2.944,0.103,0.076,1.155
2.946,0.096,0.056,1.191
2.950,0.101,0.039,1.228
2.955,0.097,0.019,1.263
2.958,0.099,0.011,1.292
2.962,0.099,-0.000,1.307
2.966,0.102,-0.010,1.312
2.971,0.099,-0.017,1.309
2.974,0.104,-0.027,1.308
2.978,0.108,-0.030,1.293
2.981,0.109,-0.025,1.276
2.988,0.109,-0.024,1.243
2.990,0.105,-0.010,1.212
2.994,0.104,0.002,1.170
2.998,0.097,0.016,1.126
3.001,0.089,0.032,1.082
3.005,0.086,0.041,1.044
3.009,0.086,0.048,1.016
3.013,0.082,0.059,0.985
3.018,0.074,0.067,0.959
3.024,0.068,0.073,0.939
3.027,0.072,0.072,0.926
3.029,0.058,0.079,0.912
3.033,0.056,0.077,0.901
3.050,0.051,0.081,0.901
3.051,0.040,0.077,0.899
3.051,0.034,0.081,0.900
3.051,0.021,0.078,0.903
3.061,0.009,0.075,0.912
3.062,-0.005,0.073,0.917
3.062,-0.024,0.075,0.923
3.065,-0.041,0.069,0.931
3.072,-0.053,0.070,0.943
3.073,-0.070,0.066,0.964
3.078,-0.087,0.068,0.980
3.081,-0.102,0.062,1.003
3.085,-0.113,0.061,1.027
3.089,-0.125,0.055,1.044
3.093,-0.141,0.050,1.060
3.097,-0.141,0.041,1.080
3.100,-0.143,0.033,1.098
3.108,-0.148,0.028,1.117
3.109,-0.150,0.021,1.127
3.137,-0.151,0.013,1.143
