time,x,y,z
2.593,0.217,0.088,1.025
2.597,0.221,0.088,1.024
2.601,0.226,0.088,1.015
2.607,0.231,0.088,1.002
2.608,0.225,0.085,0.986
2.613,0.225,0.086,0.982
2.617,0.225,0.088,0.983
2.625,0.221,0.095,0.972
2.625,0.211,0.095,0.968
2.628,0.212,0.097,0.960
2.632,0.202,0.103,0.951
2.636,0.199,0.101,0.948
2.648,0.201,0.107,0.943
2.649,0.198,0.110,0.928
2.649,0.190,0.119,0.919
2.652,0.195,0.121,0.910
2.686,0.189,0.122,0.904
2.687,0.177,0.122,0.898
2.687,0.169,0.131,0.892
2.688,0.165,0.133,0.885
2.688,0.164,0.134,0.880
2.688,0.165,0.132,0.882
2.689,0.162,0.131,0.879
2.689,0.160,0.130,0.880
2.690,0.161,0.129,0.883
2.693,0.160,0.128,0.890
2.696,0.155,0.125,0.898
2.700,0.148,0.120,0.907
2.704,0.141,0.116,0.918
2.709,0.130,0.116,0.931
2.711,0.132,0.110,0.938
2.715,0.131,0.111,0.940
2.719,0.131,0.108,0.943
2.725,0.133,0.111,0.939
2.727,0.133,0.102,0.930
2.731,0.132,0.104,0.923
2.736,0.132,0.106,0.920
2.749,0.131,0.104,0.918
2.750,0.133,0.108,0.913
2.751,0.122,0.108,0.911
2.751,0.119,0.107,0.907
2.795,0.111,0.106,0.901
2.796,0.112,0.105,0.905
2.796,0.106,0.104,0.899
2.797,0.099,0.100,0.899
2.815,0.096,0.096,0.897
2.815,0.089,0.094,0.900
2.816,0.094,0.093,0.894
2.816,0.091,0.087,0.898
2.816,0.099,0.082,0.898
2.817,0.092,0.083,0.905
2.817,0.092,0.077,0.917
2.817,0.087,0.073,0.928
2.818,0.080,0.068,0.941
2.818,0.074,0.061,0.952
2.818,0.072,0.060,0.954
2.819,0.056,0.059,0.967
2.819,0.052,0.060,0.967
2.824,0.045,0.057,0.972
2.825,0.046,0.055,0.979
2.830,0.033,0.061,0.989
2.834,0.033,0.058,0.988
2.841,0.025,0.059,0.990
2.841,0.022,0.062,0.992
2.846,0.023,0.062,0.995
2.850,0.019,0.060,0.995
2.854,0.013,0.059,0.993
2.866,0.008,0.059,0.999
2.867,0.004,0.065,0.999
2.867,-0.006,0.068,0.996
2.869,-0.012,0.065,0.992
2.904,-0.020,0.066,0.994
2.904,-0.025,0.071,1.002
2.905,-0.031,0.071,1.006
2.905,-0.034,0.075,1.012
2.906,-0.046,0.076,1.019
2.906,-0.049,0.081,1.023
2.906,-0.045,0.079,1.033
2.907,-0.051,0.085,1.036
2.907,-0.051,0.081,1.048
2.909,-0.050,0.083,1.057
2.913,-0.052,0.091,1.063
2.917,-0.056,0.088,1.064
2.921,-0.060,0.088,1.071
2.926,-0.069,0.091,1.082
2.929,-0.069,0.089,1.092
2.933,-0.072,0.092,1.093
2.937,-0.076,0.086,1.094
2.950,-0.075,0.081,1.107
2.951,-0.076,0.072,1.109
2.951,-0.085,0.065,1.120
2.952,-0.092,0.062,1.134
2.993,-0.093,0.050,1.153
2.993,-0.094,0.043,1.178
2.994,-0.095,0.027,1.204
2.994,-0.093,0.011,1.232
2.994,-0.095,0.004,1.255
2.995,-0.094,-0.010,1.287
2.995,-0.096,-0.017,1.322
2.995,-0.095,-0.026,1.342
2.996,-0.094,-0.035,1.359
2.996,-0.088,-0.044,1.373
2.997,-0.091,-0.050,1.378
3.000,-0.093,-0.051,1.376
3.004,-0.095,-0.046,1.364
3.011,-0.108,-0.041,1.350
3.012,-0.111,-0.033,1.327
3.016,-0.121,-0.025,1.294
3.020,-0.124,-0.011,1.250
3.031,-0.140,-0.004,1.210
3.032,-0.147,0.005,1.172
3.032,-0.154,0.016,1.131
3.035,-0.152,0.026,1.089
3.051,-0.166,0.037,1.044
3.052,-0.177,0.055,0.991
3.052,-0.185,0.066,0.950
3.052,-0.187,0.079,0.913
3.058,-0.190,0.085,0.884
3.059,-0.201,0.102,0.858
3.063,-0.202,0.102,0.842
3.066,-0.206,0.105,0.836
3.070,-0.204,0.100,0.827
3.097,-0.198,0.102,0.829
3.098,-0.186,0.096,0.831
3.098,-0.179,0.091,0.838
3.098,-0.167,0.085,0.850
3.099,-0.151,0.073,0.865
3.099,-0.139,0.062,0.877
3.099,-0.121,0.050,0.896
3.102,-0.104,0.034,0.923
3.109,-0.084,0.018,0.956
3.110,-0.068,-0.004,0.987
3.114,-0.054,-0.020,1.015
3.119,-0.034,-0.040,1.040
3.125,-0.007,-0.058,1.068
3.127,0.007,-0.071,1.096
3.132,0.021,-0.081,1.118
3.134,0.040,-0.086,1.136
3.138,0.052,-0.099,1.150
3.150,0.057,-0.106,1.153
3.151,0.066,-0.109,1.165
3.151,0.062,-0.108,1.166
3.154,0.059,-0.103,1.171
